আ	A
এ	A
যে	A
এই	A
ব	B
বি	B
সি	C
ডি	D
ই	E
ফ	F
এফ	F
জি	G
হ	H
এইচ	H
ই	I
জে	J
কে	K
ল	L
ম	M
এল	M
এম	M
এন	N
ও	O
প	P
পি	P
কিউ	Q
আর	R
স্	S
এস	S
টি	T
টিি	T
উ	U
ইউ	U
ভি	V
উ	W
ডব্লিউ	W
ডাব্লিউ	W
এক্স	X
ই	Y
জ	Z
জড়	Z
জ্যাড	Z
এড়	Z
জেড	Z
আআ	AA
আবি	AB
আসি	AC
এসি	AC
আডি	AD
আই	AE
আফ	AF
আজি	AG
আহ	AH
আই	AI
আজে	AJ
আকে	AK
আল	AL
আম	AM
আএন	AN
আও	AO
আপ	AP
যেপি	AP
এপি	AP
আকিউ	AQ
আআর	AR
আস্	AS
আটি	AT
আউ	AU
আভি	AV
আউ	AW
আএক্স	AX
আই	AY
আজ	AZ
এজএড	AZ
বিআ	BA
বিবি	BB
বিসি	BC
বিডি	BD
বিই	BE
বিফ	BF
বিজি	BG
বিহ	BH
বিই	BI
বিজে	BJ
বিকে	BK
বিল	BL
বিএল	BL
বিম	BM
বিএন	BN
বিও	BO
বিপ	BP
বিকিউ	BQ
বিআর	BR
বিস্	BS
বিটি	BT
বিউ	BU
বিভি	BV
বিউ	BW
বিএক্স	BX
বিই	BY
বিজ	BZ
সিআ	CA
সিবি	CB
সিসি	CC
সিডি	CD
সিই	CE
সিফ	CF
সিজি	CG
সিহ	CH
সিই	CI
সিজে	CJ
সিকে	CK
সিল	CL
সিম	CM
সিএন	CN
সিও	CO
সিপ	CP
সিকিউ	CQ
সিআর	CR
সিস্	CS
সিটি	CT
সিউ	CU
সিভি	CV
সিউ	CW
সিএক্স	CX
সিই	CY
সিজ	CZ
ডিআ	DA
ডিবি	DB
ডিসি	DC
ডিডি	DD
ডিই	DE
ডিফ	DF
ডিজি	DG
ডিহ	DH
ডিই	DI
ডিজে	DJ
ডিকে	DK
ডিল	DL
ডিএল	DL
ডিম	DM
ডিএন	DN
ডিও	DO
ডিপ	DP
ডিকিউ	DQ
ডিআর	DR
ডিস্	DS
ডিটি	DT
ডিউ	DU
ডিভি	DV
ডিউ	DW
ডিএক্স	DX
ডিই	DY
ডিজ	DZ
ইআ	EA
ইবি	EB
ইসি	EC
ইডি	ED
ইই	EE
ইফ	EF
ইজি	EG
ইহ	EH
ইই	EI
ইজে	EJ
ইকে	EK
ইল	EL
ইম	EM
ইএন	EN
ইও	EO
ইপ	EP
ইকিউ	EQ
ইআর	ER
ইস্	ES
ইটি	ET
ইইউ	EU
ইভি	EV
ইডব্লিউ	EW
ইএক্স	EX
ইই	EY
ইজ	EZ
ফআ	FA
ফবি	FB
ফসি	FC
ফডি	FD
ফই	FE
ফফ	FF
ফজি	FG
ফহ	FH
ফই	FI
ফজে	FJ
ফকে	FK
ফল	FL
ফম	FM
ফএন	FN
ফও	FO
ফপ	FP
ফকিউ	FQ
ফআর	FR
ফস্	FS
ফটি	FT
ফউ	FU
ফভি	FV
ফউ	FW
ফএক্স	FX
ফই	FY
ফজ	FZ
জিআ	GA
জিবি	GB
জিসি	GC
জিডি	GD
জিই	GE
জিফ	GF
জিজি	GG
জিহ	GH
জিই	GI
জিজে	GJ
জিকে	GK
জিল	GL
জিম	GM
জিএন	GN
জিও	GO
জিপ	GP
জিকিউ	GQ
জিআর	GR
জিস্	GS
জিটি	GT
জিউ	GU
জিভি	GV
জিউ	GW
জিএক্স	GX
জিই	GY
জিজ	GZ
হআ	HA
হবি	HB
হসি	HC
হডি	HD
হই	HE
হফ	HF
হজি	HG
হহ	HH
হই	HI
হজে	HJ
হকে	HK
হল	HL
হম	HM
হএন	HN
হও	HO
হপ	HP
এচপি	HP
এইচপি	HP
হকিউ	HQ
হআর	HR
হস্	HS
হটি	HT
হউ	HU
হভি	HV
হউ	HW
হএক্স	HX
হই	HY
হজ	HZ
ইআ	IA
ইবি	IB
ইসি	IC
ইডি	ID
ইই	IE
ইফ	IF
ইজি	IG
ইহ	IH
ইই	II
ইজে	IJ
ইকে	IK
ইল	IL
ইম	IM
ইএন	IN
ইও	IO
ইপ	IP
ইকিউ	IQ
ইআর	IR
ইস্	IS
ইটি	IT
আইইউ	IU
ইভি	IV
আইডাব্লিউ	IW
ইএক্স	IX
ইই	IY
ইজ	IZ
জেআ	JA
জেবি	JB
জেসি	JC
জেডি	JD
জেই	JE
জেফ	JF
জেজি	JG
জেহ	JH
জেই	JI
জেজে	JJ
জেকে	JK
জেল	JL
জেম	JM
জেএন	JN
জেও	JO
জেপ	JP
জেকিউ	JQ
জেআর	JR
জেস্	JS
জেটি	JT
জেউ	JU
জেভি	JV
জেউ	JW
জেএক্স	JX
জেই	JY
জেজ	JZ
কেআ	KA
কেএ	KA
কেবি	KB
কেসি	KC
কেডি	KD
কেই	KE
কেফ	KF
কেজি	KG
কেহ	KH
কেই	KI
কেজে	KJ
কেকে	KK
কেল	KL
কেএল	KL
কেম	KM
কেএন	KN
কেও	KO
কেপ	KP
কেকিউ	KQ
কেআর	KR
কেস্	KS
কেটি	KT
কেউ	KU
কেভি	KV
কেউ	KW
কেএক্স	KX
কেই	KY
কেজ	KZ
লআ	LA
লবি	LB
লসি	LC
লডি	LD
লই	LE
লফ	LF
লজি	LG
লহ	LH
লই	LI
লজে	LJ
লকে	LK
লল	LL
লম	LM
লএন	LN
লও	LO
লপ	LP
লকিউ	LQ
লআর	LR
লস্	LS
লটি	LT
লউ	LU
লভি	LV
লউ	LW
লএক্স	LX
লই	LY
লজ	LZ
মআ	MA
মবি	MB
মসি	MC
মডি	MD
মই	ME
মফ	MF
মজি	MG
মহ	MH
এমএচ	MH
মই	MI
মজে	MJ
মকে	MK
মল	ML
মম	MM
এমএম	MM
এমএন	MN
মএন	MN
মও	MO
মপ	MP
এমপি	MP
মকিউ	MQ
মআর	MR
মস্	MS
মটি	MT
মউ	MU
মভি	MV
এমভ	MV
মউ	MW
মএক্স	MX
মই	MY
মজ	MZ
এনআ	NA
এনবি	NB
এনসি	NC
এনডি	ND
এনই	NE
এনফ	NF
এনজি	NG
এনহ	NH
এনই	NI
এনজে	NJ
এনকে	NK
এনল	NL
এনম	NM
এনএন	NN
এনও	NO
এনপ	NP
এনকিউ	NQ
এনআর	NR
এনস্	NS
এনটি	NT
এনউ	NU
এনভি	NV
এনউ	NW
এনএক্স	NX
এনই	NY
এনজ	NZ
ওআ	OA
ওবি	OB
ওসি	OC
ওডি	OD
ওই	OE
ওফ	OF
ওজি	OG
ওহ	OH
ওই	OI
ওজে	OJ
ওকে	OK
ওল	OL
ওম	OM
ওএন	ON
ওও	OO
ওপ	OP
ওকিউ	OQ
ওআর	OR
ওস্	OS
ওটি	OT
ওউ	OU
ওভি	OV
ওউ	OW
ওএক্স	OX
ওই	OY
ওজ	OZ
পআ	PA
পবি	PB
পিব	PB
পিবি	PB
পসি	PC
পডি	PD
পই	PE
পফ	PF
পজি	PG
পহ	PH
পই	PI
পজে	PJ
পকে	PK
পল	PL
পম	PM
পএন	PN
পও	PO
পপ	PP
পকিউ	PQ
পআর	PR
পস্	PS
পটি	PT
পউ	PU
পভি	PV
পউ	PW
পএক্স	PX
পই	PY
পজ	PZ
কিউআ	QA
কিউবি	QB
কিউসি	QC
কিউডি	QD
কিউই	QE
কিউফ	QF
কিউজি	QG
কিউহ	QH
কিউই	QI
কিউজে	QJ
কিউকে	QK
কিউল	QL
কিউম	QM
কিউএন	QN
কিউও	QO
কিউপ	QP
কিউকিউ	QQ
কিউআর	QR
কিউস্	QS
কিউটি	QT
কিউউ	QU
কিউভি	QV
কিউউ	QW
কিউএক্স	QX
কিউই	QY
কিউজ	QZ
আরআ	RA
আরবি	RB
আরসি	RC
আরডি	RD
আরই	RE
আরফ	RF
আরজি	RG
আরহ	RH
আরই	RI
আরজে	RJ
আরকে	RK
আরল	RL
আরম	RM
আরএন	RN
আরও	RO
আরপ	RP
আরকিউ	RQ
আরআর	RR
আরস্	RS
আরটি	RT
আরউ	RU
আরভি	RV
আরউ	RW
আরএক্স	RX
আরই	RY
আরজ	RZ
স্আ	SA
স্বি	SB
স্সি	SC
স্ডি	SD
স্ই	SE
স্ফ	SF
স্জি	SG
স্হ	SH
স্ই	SI
স্জে	SJ
স্কে	SK
স্ল	SL
স্ম	SM
স্এন	SN
স্ও	SO
স্প	SP
স্কিউ	SQ
স্আর	SR
স্স্	SS
স্টি	ST
স্উ	SU
স্ভি	SV
স্উ	SW
স্এক্স	SX
স্ই	SY
স্জ	SZ
টিআ	TA
টিবি	TB
টিসি	TC
টিডি	TD
টিই	TE
টিফ	TF
টিজি	TG
টিহ	TH
টিই	TI
টিজে	TJ
টিকে	TK
টিল	TL
টিম	TM
টিএন	TN
টিও	TO
টিপ	TP
টিকিউ	TQ
টিআর	TR
টিস্	TS
টিটি	TT
টিউ	TU
টিভি	TV
টিউ	TW
টিএক্স	TX
টিই	TY
টিজ	TZ
উআ	UA
উবি	UB
উসি	UC
উডি	UD
উই	UE
উফ	UF
উজি	UG
উহ	UH
উই	UI
উজে	UJ
উকে	UK
উল	UL
উম	UM
উএন	UN
উও	UO
উপ	UP
ইউপি	UP
উকিউ	UQ
উআর	UR
উস্	US
উটি	UT
উউ	UU
উভি	UV
উউ	UW
উএক্স	UX
উই	UY
উজ	UZ
ভিআ	VA
ভিবি	VB
ভিসি	VC
ভিডি	VD
ভিই	VE
ভিফ	VF
ভিজি	VG
ভিহ	VH
ভিই	VI
ভিজে	VJ
ভিকে	VK
ভিল	VL
ভিম	VM
ভিএন	VN
ভিও	VO
ভিপ	VP
ভিকিউ	VQ
ভিআর	VR
ভিস্	VS
ভিটি	VT
ভিউ	VU
ভিভি	VV
ভিউ	VW
ভিএক্স	VX
ভিই	VY
ভিজ	VZ
উআ	WA
উবি	WB
ডব্লিউবি	WB
উসি	WC
উডি	WD
উই	WE
উফ	WF
উজি	WG
উহ	WH
উই	WI
উজে	WJ
উকে	WK
উল	WL
উম	WM
উএন	WN
উও	WO
উপ	WP
উকিউ	WQ
উআর	WR
উস্	WS
উটি	WT
উউ	WU
উভি	WV
উউ	WW
উএক্স	WX
উই	WY
উজ	WZ
এক্সআ	XA
এক্সবি	XB
এক্সসি	XC
এক্সডি	XD
এক্সই	XE
এক্সফ	XF
এক্সজি	XG
এক্সহ	XH
এক্সই	XI
এক্সজে	XJ
এক্সকে	XK
এক্সল	XL
এক্সম	XM
এক্সএন	XN
এক্সও	XO
এক্সপ	XP
এক্সকিউ	XQ
এক্সআর	XR
এক্সস্	XS
এক্সটি	XT
এক্সউ	XU
এক্সভি	XV
এক্সউ	XW
এক্সএক্স	XX
এক্সই	XY
এক্সজ	XZ
ইআ	YA
ইবি	YB
ইসি	YC
ইডি	YD
ইই	YE
ইফ	YF
ইজি	YG
ইহ	YH
ইই	YI
ইজে	YJ
ইকে	YK
ইল	YL
ইম	YM
ইএন	YN
ইও	YO
ইপ	YP
ইকিউ	YQ
ইআর	YR
ইস্	YS
ইটি	YT
ওয়াইইউ	YU
ইভি	YV
ওয়াইইউ	YW
ইএক্স	YX
ইই	YY
ইজ	YZ
জআ	ZA
জবি	ZB
জসি	ZC
জডি	ZD
জই	ZE
জফ	ZF
জজি	ZG
জহ	ZH
জই	ZI
জজে	ZJ
জকে	ZK
জল	ZL
জম	ZM
জএন	ZN
জও	ZO
জপ	ZP
জকিউ	ZQ
জআর	ZR
জস্	ZS
জটি	ZT
জউ	ZU
জভি	ZV
জউ	ZW
