ڈبل آ	AA
ڈبل ب	BB
ڈبل ک	CC
ڈبل د	DD
ڈبل ٲ	EE
ڈبل ف	FF
ڈبل گ	GG
ڈبل ہ	HH
ڈبل یِہ	II
ڈبل ج	JJ
ڈبل ک	KK
ڈبل ل	LL
ڈبل م	MM
ڈبل ن	NN
ڈبل او	OO
ڈبل پ	PP
ڈبل ک	QQ
ڈبل ر	RR
ڈبل س	SS
ڈبل تھ	TT
ڈبل وٗ	UU
ڈبل و	VV
ڈبل و	WW
ڈبل ژ	XX
ڈبل یِہ	YY
ڈبل ز	ZZ
ٹرپل آ	AAA
ٹرپل ب	BBB
ٹرپل ک	CCC
ٹرپل د	DDD
ٹرپل ٲ	EEE
ٹرپل ف	FFF
ٹرپل گ	GGG
ٹرپل ہ	HHH
ٹرپل یِہ	III
ٹرپل ج	JJJ
ٹرپل ک	KKK
ٹرپل ل	LLL
ٹرپل م	MMM
ٹرپل ن	NNN
ٹرپل او	OOO
ٹرپل پ	PPP
ٹرپل ک	QQQ
ٹرپل ر	RRR
ٹرپل س	SSS
ٹرپل تھ	TTT
ٹرپل وٗ	UUU
ٹرپل و	VVV
ٹرپل و	WWW
ٹرپل ژ	XXX
ٹرپل یِہ	YYY
ٹرپل ز	ZZZ
