ਏ	A 
ਬੀ	B
ਸੀ	C
ਡੀ	D
ਈ	E
ਫ਼	F
ਜੀ	G
ਹ	H
ਐੱਚ	H
ਆਈ	I
ਜੇ	J
ਕੇ	K
ਲ	L
ਮ	M
ਐੱਮ	M
ਐਮ	M
ਨ	N
ਐੱਨ	N
ਓ	O
ਪ	P
ਪੀ	P
ਕੇ	Q
ਰ	R
ਆਰ	R
ਸ	S
ਟੀ	T
ਉ	U
ਯੂ	U
ਵੀ	V
ਦੇਵ	W
ਡਬਲਿਯੂ	W
ਐਕਸ	X
ਯ	Y
ਜ਼	Z
ਜ਼ੈਡ	Z
ਜ਼ੈੱਟ	Z
ਜ਼ੈੱਡ	Z
ਏਏ	AA
ਏਬੀ	AB
ਏਸੀ	AC
ਏਡੀ	AD
ਏਈ	AE
ਏਫ਼	AF
ਏਜੀ	AG
ਏਹ	AH
ਏਆਈ	AI
ਏਜੇ	AJ
ਏਕੇ	AK
ਏਲ	AL
ਏਮ	AM
ਏਨ	AN
ਏਓ	AO
ਏਪ	AP
ਏਕੇ	AQ
ਏਰ	AR
ਏਸ	AS
ਏਟੀ	AT
ਏਉ	AU
ਏਵੀ	AV
ਏਦੇਵ	AW
ਏਐਕਸ	AX
ਏਯ	AY
ਏਜ਼	AZ
ਬੀਏ	BA
ਬੀਬੀ	BB
ਬੀਸੀ	BC
ਬੀਡੀ	BD
ਬੀਈ	BE
ਬੀਫ਼	BF
ਬੀਜੀ	BG
ਬੀਹ	BH
ਬੀਆਈ	BI
ਬੀਜੇ	BJ
ਬੀਕੇ	BK
ਬੀਲ	BL
ਬੀਮ	BM
ਬੀਨ	BN
ਬੀਓ	BO
ਬੀਪ	BP
ਬੀਕੇ	BQ
ਬੀਰ	BR
ਬੀਸ	BS
ਬੀਟੀ	BT
ਬੀਉ	BU
ਬੀਵੀ	BV
ਬੀਦੇਵ	BW
ਬੀਐਕਸ	BX
ਬੀਯ	BY
ਬੀਜ਼	BZ
ਸੀਏ	CA
ਸੀਬੀ	CB
ਸੀਸੀ	CC
ਸੀਡੀ	CD
ਸੀਈ	CE
ਸੀਫ਼	CF
ਸੀਜੀ	CG
ਸੀਹ	CH
ਸੀਆਈ	CI
ਸੀਜੇ	CJ
ਸੀਕੇ	CK
ਸੀਲ	CL
ਸੀਮ	CM
ਸੀਨ	CN
ਸੀਓ	CO
ਸੀਪ	CP
ਸੀਕੇ	CQ
ਸੀਰ	CR
ਸੀਸ	CS
ਸੀਟੀ	CT
ਸੀਉ	CU
ਸੀਵੀ	CV
ਸੀਦੇਵ	CW
ਸੀਐਕਸ	CX
ਸੀਯ	CY
ਸੀਜ਼	CZ
ਡੀਏ	DA
ਡੀਬੀ	DB
ਡੀਸੀ	DC
ਡੀਡੀ	DD
ਡੀਈ	DE
ਡੀਫ਼	DF
ਡੀਜੀ	DG
ਡੀਹ	DH
ਡੀਆਈ	DI
ਡੀਜੇ	DJ
ਡੀਕੇ	DK
ਡੀਲ	DL
ਡੀਮ	DM
ਡੀਨ	DN
ਡੀਓ	DO
ਡੀਪ	DP
ਡੀਕੇ	DQ
ਡੀਰ	DR
ਡੀਸ	DS
ਡੀਟੀ	DT
ਡੀਉ	DU
ਡੀਵੀ	DV
ਡੀਦੇਵ	DW
ਡੀਐਕਸ	DX
ਡੀਯ	DY
ਡੀਜ਼	DZ
ਈਏ	EA
ਈਬੀ	EB
ਈਸੀ	EC
ਈਡੀ	ED
ਈਈ	EE
ਈਫ਼	EF
ਈਜੀ	EG
ਈਹ	EH
ਈਆਈ	EI
ਈਜੇ	EJ
ਈਕੇ	EK
ਈਲ	EL
ਈਮ	EM
ਈਨ	EN
ਈਓ	EO
ਈਪ	EP
ਈਕੇ	EQ
ਈਰ	ER
ਈਸ	ES
ਈਟੀ	ET
ਈਉ	EU
ਈਵੀ	EV
ਈਦੇਵ	EW
ਈਐਕਸ	EX
ਈਯ	EY
ਈਜ਼	EZ
ਫ਼ਏ	FA
ਫ਼ਬੀ	FB
ਫ਼ਸੀ	FC
ਫ਼ਡੀ	FD
ਫ਼ਈ	FE
ਫ਼ਫ਼	FF
ਫ਼ਜੀ	FG
ਫ਼ਹ	FH
ਫ਼ਆਈ	FI
ਫ਼ਜੇ	FJ
ਫ਼ਕੇ	FK
ਫ਼ਲ	FL
ਫ਼ਮ	FM
ਫ਼ਨ	FN
ਫ਼ਓ	FO
ਫ਼ਪ	FP
ਫ਼ਕੇ	FQ
ਫ਼ਰ	FR
ਫ਼ਸ	FS
ਫ਼ਟੀ	FT
ਫ਼ਉ	FU
ਫ਼ਵੀ	FV
ਫ਼ਦੇਵ	FW
ਫ਼ਐਕਸ	FX
ਫ਼ਯ	FY
ਫ਼ਜ਼	FZ
ਜੀਏ	GA
ਜੀਬੀ	GB
ਜੀਸੀ	GC
ਜੀਡੀ	GD
ਜੀਈ	GE
ਜੀਫ਼	GF
ਜੀਜੀ	GG
ਜੀਹ	GH
ਜੀਆਈ	GI
ਜੀਜੇ	GJ
ਜੀਕੇ	GK
ਜੀਲ	GL
ਜੀਮ	GM
ਜੀਨ	GN
ਜੀਓ	GO
ਜੀਪ	GP
ਜੀਕੇ	GQ
ਜੀਰ	GR
ਜੀਸ	GS
ਜੀਟੀ	GT
ਜੀਉ	GU
ਜੀਵੀ	GV
ਜੀਦੇਵ	GW
ਜੀਐਕਸ	GX
ਜੀਯ	GY
ਜੀਜ਼	GZ
ਹਏ	HA
ਹਬੀ	HB
ਹਸੀ	HC
ਹਡੀ	HD
ਹਈ	HE
ਹਫ਼	HF
ਹਜੀ	HG
ਹਹ	HH
ਹਆਈ	HI
ਹਜੇ	HJ
ਹਕੇ	HK
ਹਲ	HL
ਹਮ	HM
ਹਨ	HN
ਹਓ	HO
ਹਪ	HP
ਹਕੇ	HQ
ਹਰ	HR
ਹਸ	HS
ਹਟੀ	HT
ਹਉ	HU
