ᱫᱳᱩᱵᱞᱮ ᱚ	AA
ᱫᱳᱩᱵᱞᱮ ᱵ	BB
ᱫᱳᱩᱵᱞᱮ ᱪ	CC
ᱫᱳᱩᱵᱞᱮ ᱫ	DD
ᱫᱳᱩᱵᱞᱮ ᱮ	EE
डबल एफ	FF
ᱫᱳᱩᱵᱞᱮ ᱜ	GG
ᱫᱳᱩᱵᱞᱮ ᱷ	HH
ᱫᱳᱩᱵᱞᱮ ᱤ	II
ᱫᱳᱩᱵᱞᱮ ᱡ	JJ
ᱫᱳᱩᱵᱞᱮ ᱠ	KK
ᱫᱳᱩᱵᱞᱮ ᱞ	LL
ᱫᱳᱩᱵᱞᱮ ᱢ	MM
ᱫᱳᱩᱵᱞᱮ ᱱ	NN
ᱫᱳᱩᱵᱞᱮ ᱳ	OO
ᱫᱳᱩᱵᱞᱮ ᱯ	PP
डबल क्यू	QQ
ᱫᱳᱩᱵᱞᱮ ᱨ	RR
ᱫᱳᱩᱵᱞᱮ ᱥ	SS
ᱫᱳᱩᱵᱞᱮ ᱛ	TT
ᱫᱳᱩᱵᱞᱮ ᱩ	UU
ᱫᱳᱩᱵᱞᱮ ᱶ	VV
ᱫᱳᱩᱵᱞᱮ ᱣ	WW
डबल एक्स	X
ᱫᱳᱩᱵᱞᱮ ᱭ	YY
ᱫᱳᱩᱵᱞᱮ ᱽ	ZZ
ᱛᱨᱤᱯᱞᱮ ᱚ	AAA
ᱛᱨᱤᱯᱞᱮ ᱵ	BBB
ᱛᱨᱤᱯᱞᱮ ᱪ	CCC
ᱛᱨᱤᱯᱞᱮ ᱫ	DDD
ᱛᱨᱤᱯᱞᱮ ᱮ	EEE
ट्रिपल एफ	F
ᱛᱨᱤᱯᱞᱮ ᱜ	GGG
ᱛᱨᱤᱯᱞᱮ ᱷ	HHH
ᱛᱨᱤᱯᱞᱮ ᱤ	III
ᱛᱨᱤᱯᱞᱮ ᱡ	JJJ
ᱛᱨᱤᱯᱞᱮ ᱠ	KKK
ᱛᱨᱤᱯᱞᱮ ᱞ	LLL
ᱛᱨᱤᱯᱞᱮ ᱢ	MMM
ᱛᱨᱤᱯᱞᱮ ᱱ	NNN
ᱛᱨᱤᱯᱞᱮ ᱳ	OOO
ᱛᱨᱤᱯᱞᱮ ᱯ	PPP
ट्रिपल क्यू	Q
ᱛᱨᱤᱯᱞᱮ ᱨ	RRR
ᱛᱨᱤᱯᱞᱮ ᱥ	SSS
ᱛᱨᱤᱯᱞᱮ ᱛ	TTT
ᱛᱨᱤᱯᱞᱮ ᱩ	UUU
ᱛᱨᱤᱯᱞᱮ ᱶ	VVV
ᱛᱨᱤᱯᱞᱮ ᱣ	WWW
ट्रिपल एक्स	X
ᱛᱨᱤᱯᱞᱮ ᱭ	YYY
ᱛᱨᱤᱯᱞᱮ ᱽ	ZZZ

