ڊبل اَ	AA
ڊبل ٻ	BB
ڊبل س	CC
ڊبل ڏ	DD
ڊبل اي	EE
ڊبل ف	FF
ڊبل ڳ	GG
ڊبل هه	HH
ڊبل اي	II
ڊبل ج	JJ
ڊبل ڪ	KK
ڊبل ل	LL
ڊبل م	MM
ڊبل ن	NN
ڊبل او	OO
ڊبل پ	PP
ڊبل ق	QQ
ڊبل ر	RR
ڊبل س	SS
ڊبل ٽ	TT
ڊبل اُ	UU
ڊبل و	VV
ڊبل و	WW
ڊبل ژ	XX
ڊبل اي	YY
ڊبل ز	ZZ
ٽرپل اَ	AAA
ٽرپل ٻ	BBB
ٽرپل س	CCC
ٽرپل ڏ	DDD
ٽرپل اي	EEE
ٽرپل ف	FFF
ٽرپل ڳ	GGG
ٽرپل هه	HHH
ٽرپل اي	III
ٽرپل ج	JJJ
ٽرپل ڪ	KKK
ٽرپل ل	LLL
ٽرپل م	MMM
ٽرپل ن	NNN
ٽرپل او	OOO
ٽرپل پ	PPP
ٽرپل ق	QQQ
ٽرپل ر	RRR
ٽرپل س	SSS
ٽرپل ٽ	TTT
ٽرپل اُ	UUU
ٽرپل و	VVV
ٽرپل و	WWW
ٽرپل ژ	XXX
ٽرپل اي	YYY
ٽرپل ز	ZZZ
