ఏ	A
బి	B
సి	C
డి	D
ఈ	E
ఎఫ్	F
జి	G
హెచ్	H
ఐ	I
జె	J
కె	K
ఎల్	L
ఎం	M
ఎన్	N
ఓ	O
పి	P
ఖ్యు	Q
ఆర్	R
ఎస్	S
టి	T
యు	U
వి	V
డబల్యూ	W
ఎక్స్	X
వై	Y
జెడ్	Z
సిహెచ్	CH
డిఎన్	DN
డిడి	DD
ఎల్ఏ	LA
ఓటి	OT
ఏఏ	AA
ఏబి	AB
ఏసి	AC
ఏడి	AD
ఏఈ	AE
ఏఎఫ్	AF
ఏజి	AG
ఏహెచ్	AH
ఏఐ	AI
ఏజె	AJ
ఏకె	AK
ఏఎల్	AL
ఏఎం	AM
ఏఎన్	AN
ఏఓ	AO
ఏపి	AP
ఏపీ	AP
ఏఖ్యు	AQ
ఏఆర్	AR
ఏఎస్	AS
ఏటి	AT
ఏయు	AU
ఏవి	AV
ఏడబల్యూ	AW
ఏఎక్స్	AX
ఏవై	AY
ఏజెడ్	AZ
బిఏ	BA
బిబి	BB
బిసి	BC
బిడి	BD
బిఈ	BE
బిఎఫ్	BF
బిజి	BG
బిహెచ్	BH
బిఐ	BI
బిజె	BJ
బికె	BK
బిఎల్	BL
బిఎం	BM
బిఎన్	BN
బిఓ	BO
బిపి	BP
బిఖ్యు	BQ
బిఆర్	BR
బీఆర్	BR
బిఎస్	BS
బిటి	BT
బియు	BU
బివి	BV
బిడబల్యూ	BW
బిఎక్స్	BX
బివై	BY
బిజెడ్	BZ
సిఏ	CA
సిబి	CB
సిసి	CC
సిడి	CD
సిఈ	CE
సిఎఫ్	CF
సిజి	CG
సిహెచ్	CH
సిఐ	CI
సిజె	CJ
సికె	CK
సిఎల్	CL
సిఎం	CM
సిఎన్	CN
సిఓ	CO
సిపి	CP
సిఖ్యు	CQ
సిఆర్	CR
సిఎస్	CS
సిటి	CT
సియు	CU
సివి	CV
సిడబల్యూ	CW
సిఎక్స్	CX
సివై	CY
సిజెడ్	CZ
డిఏ	DA
డిబి	DB
డిసి	DC
డిడి	DD
డిఈ	DE
డిఎఫ్	DF
డిజి	DG
డిహెచ్	DH
డిఐ	DI
డిజె	DJ
డికె	DK
డిఎల్	DL
డిఎం	DM
డిఎన్	DN
డిఓ	DO
డిపి	DP
డిఖ్యు	DQ
డిఆర్	DR
డిఎస్	DS
డిటి	DT
డియు	DU
డివి	DV
డిడబల్యూ	DW
డిఎక్స్	DX
డివై	DY
డిజెడ్	DZ
ఈఏ	EA
ఈబి	EB
ఈసి	EC
ఈడి	ED
ఈఈ	EE
ఈఎఫ్	EF
ఈజి	EG
ఈహెచ్	EH
ఈఐ	EI
ఈజె	EJ
ఈకె	EK
ఈఎల్	EL
ఈఎం	EM
ఈఎన్	EN
ఈఓ	EO
ఈపి	EP
ఈఖ్యు	EQ
ఈఆర్	ER
ఈఎస్	ES
ఈటి	ET
ఈయు	EU
ఈవి	EV
ఈడబల్యూ	EW
ఈఎక్స్	EX
ఈవై	EY
ఈజెడ్	EZ
ఎఫ్ఏ	FA
ఎఫ్బి	FB
ఎఫ్సి	FC
ఎఫ్డి	FD
ఎఫ్ఈ	FE
ఎఫ్ఎఫ్	FF
ఎఫ్జి	FG
ఎఫ్హెచ్	FH
ఎఫ్ఐ	FI
ఎఫ్జె	FJ
ఎఫ్కె	FK
ఎఫ్ఎల్	FL
ఎఫ్ఎం	FM
ఎఫ్ఎన్	FN
ఎఫ్ఓ	FO
ఎఫ్పి	FP
ఎఫ్ఖ్యు	FQ
ఎఫ్ఆర్	FR
ఎఫ్ఎస్	FS
ఎఫ్టి	FT
ఎఫ్యు	FU
ఎఫ్వి	FV
ఎఫ్డబల్యూ	FW
ఎఫ్ఎక్స్	FX
ఎఫ్వై	FY
ఎఫ్జెడ్	FZ
జిఏ	GA
జిబి	GB
జిసి	GC
జిడి	GD
జిఈ	GE
జిఎఫ్	GF
జిజి	GG
జిహెచ్	GH
జిఐ	GI
జిజె	GJ
జికె	GK
జిఎల్	GL
జిఎం	GM
జిఎన్	GN
జిఓ	GO
జిపి	GP
జిఖ్యు	GQ
జిఆర్	GR
జిఎస్	GS
జిటి	GT
జియు	GU
జివి	GV
జిడబల్యూ	GW
జిఎక్స్	GX
జివై	GY
జిజెడ్	GZ
హెచ్ఏ	HA
హెచ్బి	HB
హెచ్సి	HC
హెచ్డి	HD
హెచ్ఈ	HE
హెచ్ఎఫ్	HF
హెచ్జి	HG
హెచ్హెచ్	HH
హెచ్ఐ	HI
హెచ్జె	HJ
హెచ్కె	HK
హెచ్ఎల్	HL
హెచ్ఎం	HM
హెచ్ఎన్	HN
హెచ్ఓ	HO
హెచ్పి	HP
హెచ్ఖ్యు	HQ
హెచ్ఆర్	HR
హెచ్ఎస్	HS
హెచ్టి	HT
హెచ్యు	HU
హెచ్వి	HV
హెచ్డబల్యూ	HW
హెచ్ఎక్స్	HX
హెచ్వై	HY
హెచ్జెడ్	HZ
ఐఏ	IA
ఐబి	IB
ఐసి	IC
ఐడి	ID
ఐఈ	IE
ఐఎఫ్	IF
ఐజి	IG
ఐహెచ్	IH
ఐఐ	II
ఐజె	IJ
ఐజే	IJ
ఐకె	IK
ఐఎల్	IL
ఐఎం	IM
ఐఎన్	IN
ఐఓ	IO
ఐపి	IP
ఐఖ్యు	IQ
ఐఆర్	IR
ఐఎస్	IS
ఐటి	IT
ఐయు	IU
ఐవి	IV
ఐడబల్యూ	IW
ఐఎక్స్	IX
ఐవై	IY
ఐజెడ్	IZ
జెఏ	JA
జెబి	JB
జెసి	JC
జెడి	JD
జెఈ	JE
జెఎఫ్	JF
జెజి	JG
జెహెచ్	JH
జెఐ	JI
జెజె	JJ
జెకె	JK
జెఎల్	JL
జెఎం	JM
జెఎన్	JN
జెఓ	JO
జెపి	JP
జెఖ్యు	JQ
జెఆర్	JR
జెఎస్	JS
జెటి	JT
జెయు	JU
జెవి	JV
జెడబల్యూ	JW
జెఎక్స్	JX
జెవై	JY
జెజెడ్	JZ
కెఏ	KA
కెబి	KB
కెసి	KC
కెడి	KD
కెఈ	KE
కెఎఫ్	KF
కెజి	KG
కెహెచ్	KH
కెఐ	KI
కెజె	KJ
కెకె	KK
కెఎల్	KL
కెఎం	KM
కెఎన్	KN
కెఓ	KO
కెపి	KP
కెఖ్యు	KQ
కెఆర్	KR
కెఎస్	KS
కెటి	KT
కెయు	KU
కెవి	KV
కెడబల్యూ	KW
కెఎక్స్	KX
కెవై	KY
కెజెడ్	KZ
ఎల్ఏ	LA
ఎల్బి	LB
ఎల్సి	LC
ఎల్డి	LD
ఎల్ఈ	LE
ఎల్ఎఫ్	LF
ఎల్జి	LG
ఎల్హెచ్	LH
ఎల్ఐ	LI
ఎల్జె	LJ
ఎల్కె	LK
ఎల్ఎల్	LL
ఎల్ఎం	LM
ఎల్ఎన్	LN
ఎల్ఓ	LO
ఎల్పి	LP
ఎల్ఖ్యు	LQ
ఎల్ఆర్	LR
ఎల్ఎస్	LS
ఎల్టి	LT
ఎల్యు	LU
ఎల్వి	LV
ఎల్డబల్యూ	LW
ఎల్ఎక్స్	LX
ఎల్వై	LY
ఎల్జెడ్	LZ
ఎంఏ	MA
ఎంబి	MB
ఎంసి	MC
ఎండి	MD
ఎంఈ	ME
ఎంఎఫ్	MF
ఎంజి	MG
ఎంహెచ్	MH
ఎంఐ	MI
ఎంజె	MJ
ఎంకె	MK
ఎంఎల్	ML
ఎంఎం	MM
ఎంఎన్	MN
ఎంఓ	MO
ఎంపి	MP
ఎంఖ్యు	MQ
ఎంఆర్	MR
ఎంఎస్	MS
ఎంటి	MT
ఎంయు	MU
ఎంవి	MV
ఎండబల్యూ	MW
ఎంఎక్స్	MX
ఎంవై	MY
ఎంజెడ్	MZ
ఎన్ఏ	NA
ఎన్బి	NB
ఎన్సి	NC
ఎన్డి	ND
ఎన్ఈ	NE
ఎన్ఎఫ్	NF
ఎన్జి	NG
ఎన్హెచ్	NH
ఎన్ఐ	NI
ఎన్జె	NJ
ఎన్కె	NK
ఎన్ఎల్	NL
ఎన్ఎం	NM
ఎన్ఎన్	NN
ఎన్ఓ	NO
ఎన్పి	NP
ఎన్ఖ్యు	NQ
ఎన్ఆర్	NR
ఎన్ఎస్	NS
ఎన్టి	NT
ఎన్యు	NU
ఎన్వి	NV
ఎన్డబల్యూ	NW
ఎన్ఎక్స్	NX
ఎన్వై	NY
ఎన్జెడ్	NZ
ఓఏ	OA
ఓబి	OB
ఓసి	OC
ఓడి	OD
ఓఈ	OE
ఓఎఫ్	OF
ఓజి	OG
ఓహెచ్	OH
ఓఐ	OI
ఓజె	OJ
ఓకె	OK
ఓఎల్	OL
ఓఎం	OM
ఓఎన్	ON
ఓఓ	OO
ఓపి	OP
ఓఖ్యు	OQ
ఓఆర్	OR
ఓఎస్	OS
ఓటి	OT
ఓయు	OU
ఓవి	OV
ఓడబల్యూ	OW
ఓఎక్స్	OX
ఓవై	OY
ఓజెడ్	OZ
పిఏ	PA
పిబి	PB
పిసి	PC
పిడి	PD
పిఈ	PE
పిఎఫ్	PF
పిజి	PG
పిహెచ్	PH
పిఐ	PI
పిజె	PJ
పికె	PK
పిఎల్	PL
పిఎం	PM
పిఎన్	PN
పిఓ	PO
పిపి	PP
పిఖ్యు	PQ
పిఆర్	PR
పిఎస్	PS
పిటి	PT
పియు	PU
పివి	PV
పిడబల్యూ	PW
పిఎక్స్	PX
పివై	PY
పిజెడ్	PZ
ఖ్యుఏ	QA
ఖ్యుబి	QB
ఖ్యుసి	QC
ఖ్యుడి	QD
ఖ్యుఈ	QE
ఖ్యుఎఫ్	QF
ఖ్యుజి	QG
ఖ్యుహెచ్	QH
ఖ్యుఐ	QI
ఖ్యుజె	QJ
ఖ్యుకె	QK
ఖ్యుఎల్	QL
ఖ్యుఎం	QM
ఖ్యుఎన్	QN
ఖ్యుఓ	QO
ఖ్యుపి	QP
ఖ్యుఖ్యు	QQ
ఖ్యుఆర్	QR
ఖ్యుఎస్	QS
ఖ్యుటి	QT
ఖ్యుయు	QU
ఖ్యువి	QV
ఖ్యుడబల్యూ	QW
ఖ్యుఎక్స్	QX
ఖ్యువై	QY
ఖ్యుజెడ్	QZ
ఆర్ఏ	RA
ఆర్బి	RB
ఆర్సి	RC
ఆర్డి	RD
ఆర్ఈ	RE
ఆర్ఎఫ్	RF
ఆర్జి	RG
ఆర్హెచ్	RH
ఆర్ఐ	RI
ఆర్జె	RJ
ఆర్కె	RK
ఆర్ఎల్	RL
ఆర్ఎం	RM
ఆర్ఎన్	RN
ఆర్ఓ	RO
ఆర్పి	RP
ఆర్ఖ్యు	RQ
ఆర్ఆర్	RR
ఆర్ఎస్	RS
ఆర్టి	RT
ఆర్యు	RU
ఆర్వి	RV
ఆర్డబల్యూ	RW
ఆర్ఎక్స్	RX
ఆర్వై	RY
ఆర్జెడ్	RZ
ఎస్ఏ	SA
ఎస్బి	SB
ఎస్సి	SC
ఎస్డి	SD
ఎస్ఈ	SE
ఎస్ఎఫ్	SF
ఎస్జి	SG
ఎస్హెచ్	SH
ఎస్ఐ	SI
ఎస్జె	SJ
ఎస్కె	SK
ఎస్ఎల్	SL
ఎస్ఎం	SM
ఎస్ఎన్	SN
ఎస్ఓ	SO
ఎస్పి	SP
ఎస్ఖ్యు	SQ
ఎస్ఆర్	SR
ఎస్ఎస్	SS
ఎస్టి	ST
ఎస్యు	SU
ఎస్వి	SV
ఎస్డబల్యూ	SW
ఎస్ఎక్స్	SX
ఎస్వై	SY
ఎస్జెడ్	SZ
టిఏ	TA
టిబి	TB
టిసి	TC
టిడి	TD
టిఈ	TE
టిఎఫ్	TF
టిజి	TG
టిహెచ్	TH
టిఐ	TI
టిజె	TJ
టికె	TK
టిఎల్	TL
టిఎం	TM
టిఎన్	TN
టిఓ	TO
టిపి	TP
టిఖ్యు	TQ
టిఆర్	TR
టిఎస్	TS
టిటి	TT
టియు	TU
టివి	TV
టిడబల్యూ	TW
టిఎక్స్	TX
టివై	TY
టిజెడ్	TZ
యుఏ	UA
